id,link,title,availability,description,image link,price,sale price,brand,mpn,identifier exists,condition,item group id,product details,unit price measure,unit price base measure,shipping weight,additional image links
254b187f-ca30-ae00-1169-af12793c7028,https://www.natole.store/product-page/%D0%B0%D0%BD%D1%87%D0%BE%D1%83%D1%81-1-%D1%81%D0%BE%D1%80%D1%82?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Анчоус - 1 сорт 500грам,instock,<p>Анчоус - окремий вид мистетства серед снеків!</p><p>Немає і приблизно схожих снеків які б нагадували смак анчоусу .</p><p></p><p>Дуже солона і дуже маленька рибка займає окреме місце у сердцях гурманів .</p>,https://static.wixstatic.com/media/145cef_1bc3561579674c40b7d9ca53ac518a2a~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,254,254,Natole store,254b187f-ca30-ae00-1169-af12793c7028,true,new,,,,,,
e95cb02a-e763-b802-7db9-73f52e6df0e6,https://www.natole.store/product-page/%D0%B2%D0%BE%D1%81%D1%8C%D0%BC%D0%B8%D0%BD%D1%96%D0%B3-%D1%81%D0%BE%D0%BB-%D1%81%D1%83%D1%88-%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B9-1-%D1%81%D0%BE%D1%80%D1%82?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Восьминіг сол-суш великий 500грам,instock,<p>Щупальця восьминіга - слайси</p><p>Ніжне м‘ясо має трохи сладкуватий присмак з вираженим смаком кальмару</p><p>В міру солоний та ніжний</p>,https://static.wixstatic.com/media/3df2bb_481fac8e91a5495ea3b5890cdba72569~mv2.jpg/v1/fit/w_739%2Ch_739%2Cq_90/file.jpg,488,488,Natole store,e95cb02a-e763-b802-7db9-73f52e6df0e6,true,new,,,,,,
b94ac956-9b6a-45b4-d83d-a22a39ec56cc_0,https://www.natole.store/product-page/%D0%B3%D0%BE%D1%80%D0%B1%D1%83%D1%88%D0%B0-1-%D1%81%D0%BE%D1%80%D1%82?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Горбуша - 1 сорт  500грам,instock,"<p>Горбуша солоно сушена -смачний та ситний снек!</p><p>Особлива технологія виготовлення дозволяє зберегти усі смакові властивості а головне продовжити термін зберігання цієї чудової риби , а додавання перцю підкреслює її чудовий смак та додає пікантності.</p>",https://static.wixstatic.com/media/145cef_f31d24754e014accb3346f39a934abdf~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,384,384,Natole store,b94ac956-9b6a-45b4-d83d-a22a39ec56cc_0,true,new,b94ac956-9b6a-45b4-d83d-a22a39ec56cc,:Вага:500г.,,,,
890974a1-7ca8-3b96-09c6-f275f7172b77,https://www.natole.store/product-page/%D1%96%D0%BA%D1%80%D1%8F%D0%BD%D1%96-%D0%BF%D0%B0%D0%BB%D0%B8%D1%87%D0%BA%D0%B8-%D1%84%D1%96%D1%80%D0%BC%D0%BE%D0%B2%D1%96-%D1%82%D0%BC?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,"Ікряні палички ""Фірмові"" ТМ",instock,"<p>Рибна паличка з лосося на даний момент є одним з найпопулярніших снеків в нашій країні, користуючись попитом багатьох споживачів в якості закуски до пива. Продукту не потрібні спеціальні умови для зберігання. Снек виробляється з якісної сировини на високотехнологічному обладнанні. Через насичений і оригінальний смак даний снек є прекрасною закускою до пива.</p>",https://static.wixstatic.com/media/145cef_d7fa2d7060334031b4f868f9fd7d8ed6~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,514,514,Natole store,890974a1-7ca8-3b96-09c6-f275f7172b77,true,new,,,1.00 kg,1.00 kg,,
8437e6b7-3ee8-c4bf-0805-53bd84d57c6d,https://www.natole.store/product-page/%D1%96%D0%BA%D1%80%D1%8F%D0%BD%D1%96-%D0%BF%D0%B0%D0%BB%D0%B8%D1%87%D0%BA%D0%B8-%D0%BC%D0%B5%D0%BB%D1%96%D1%82%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Соломка лосося ( ікряник ) 1 кг,instock,"<p>Рибна паличка з лосося на даний момент є одним з найпопулярніших снеків в нашій країні, користуючись попитом багатьох споживачів в якості закуски до пива. Продукту не потрібні спеціальні умови для зберігання. Снек виробляється з якісної сировини на високотехнологічному обладнанні. Через насичений і оригінальний смак даний снек є прекрасною закускою до пива.</p>",https://static.wixstatic.com/media/145cef_73b75005f8ed490799580083a3461ea9~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,540,540,Natole store,8437e6b7-3ee8-c4bf-0805-53bd84d57c6d,true,new,,,,,,
f363390e-2c36-9ab3-eafc-db669f1ad2c6_0,https://www.natole.store/product-page/%D0%BA%D0%B0%D0%BB%D1%8C%D0%BC%D0%B0%D1%80-%D1%88%D0%B0%D0%BD%D1%85%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9-%D0%B3%D0%BE%D1%81%D1%82%D1%80%D0%B8%D0%B9?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Кальмар Шанхайский (гострий) 500грам,instock,"<p>Кальмар по Шанхайські-це солоно-сушене філе кальмара з солодко-солоним смаком з додаванням прянощів що роблять його неймовірно пікантним та смачним.Свіжий кальмар спершу замочується в маслі, а потім висушується певний час, до додання необхідних смакових якостей одного з найсмачніших снеків .</p>",https://static.wixstatic.com/media/145cef_6e40bdd5330f49919431713f780adf26~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,371,371,Natole store,f363390e-2c36-9ab3-eafc-db669f1ad2c6_0,true,new,f363390e-2c36-9ab3-eafc-db669f1ad2c6,:Вага:500г.,,,,
f38209d7-2b22-4eac-7e6c-6c60920414a8_0,https://www.natole.store/product-page/%D0%BA%D1%96%D0%BB%D1%8C%D1%86%D0%B5-%D0%BA%D0%B0%D0%BB%D1%8C%D0%BC%D0%B0%D1%80%D1%83?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Кільце кальмару 500грам,instock,"<p>Кільця кальмару солоно-сушені</p><p></p><p>Перуанський кальмар подрібнений тонкими кільцями має тонкий солодко-солоний смак</p><p>Має ніжну , але в той же час пружну структуру. Відчувається дуже тонкий аромат копчення цого неймовірного снека.</p>",https://static.wixstatic.com/media/145cef_f55880d12a674d39be67f6137ce8f51a~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,403,403,Natole store,f38209d7-2b22-4eac-7e6c-6c60920414a8_0,true,new,f38209d7-2b22-4eac-7e6c-6c60920414a8,:Вага:500г.,,,,
a75ebd86-910d-0d1a-a3c1-c7b3cd8878e7_0,https://www.natole.store/product-page/%D0%BA%D1%80%D0%B0%D0%B1%D0%BE%D0%B2%D1%96-%D1%81%D0%BC%D1%83%D0%B3%D0%B8?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Крабові смуги 500грам,instock,"<p>Крабові смуги - найкорисніший з кальмарових смаколиків !</p><p>Філе перуанського кальмару пресують та сушать , а потім розрізають на смужки</p><p></p><p>Має пружну текстуру та неймовірний аромат крабу</p>",https://static.wixstatic.com/media/145cef_47f5cfd542174225bef02c1464711499~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,403,403,Natole store,a75ebd86-910d-0d1a-a3c1-c7b3cd8878e7_0,true,new,a75ebd86-910d-0d1a-a3c1-c7b3cd8878e7,:Вага:500г.,,,,
3e60c77d-63a0-ad78-2a44-fe84b36ac9a5,https://www.natole.store/product-page/%D0%BB%D0%B0%D0%BA%D0%B5%D0%B4%D1%80%D0%B0?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Лакедра 500 г,instock,,https://static.wixstatic.com/media/145cef_8ef08f6fb73948e0a95d525154aef997~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,312,312,Natole store,3e60c77d-63a0-ad78-2a44-fe84b36ac9a5,true,new,,,,,,
e58aee17-e0f9-3324-2873-62ffcb326038_0,https://www.natole.store/product-page/%D0%BF%D0%B0%D0%B2%D1%83%D1%82%D0%B8%D0%BD%D0%BA%D0%B0-%D0%BA%D0%B0%D0%BB%D1%8C%D0%BC%D0%B0%D1%80%D0%B0-%D0%B7-%D0%BF%D0%B5%D1%80%D1%86-1-%D1%81%D0%BE%D1%80%D1%82?utm_source=google&utm_medium=wix_google_feed&utm_campaign=freelistings,Павутинка кальмара з перц. - 1 сорт 500грам,instock,"<p> Павутинка кальмара з червоним перцем готується з м'яса кальмарів за особливим рецептом. У процесі приготування цієї закуски в тонко нарізані палички кальмарів додають соєвий соус і це надає їм особливо пікантний смак, в той же час досить насичений.</p>",https://static.wixstatic.com/media/145cef_939674f7657349018054cadde26a896e~mv2.jpg/v1/fit/w_1080%2Ch_1080%2Cq_90/file.jpg,403,403,Natole store,e58aee17-e0f9-3324-2873-62ffcb326038_0,true,new,e58aee17-e0f9-3324-2873-62ffcb326038,:Вага:500г.,,,,
